1235,912,7
912,912,1
912,4395,13
4395,2829,41
2829,2385,51
3755,3054,5
2829,2771,8
2771,2832,9
2832,2212,27
2212,2425,52
2425,3526,9
2832,1765,35
2832,2829,509
3449,3755,31
1125,1840,2
1840,4761,97
4761,4226,28
4226,3526,62
3449,4620,7
4620,1676,6
1676,2832,19
2832,2750,48
2750,3356,31
3356,1837,21
1837,3966,14
3966,3526,70
3526,3718,34
3718,4611,11
4611,2829,496
93,2829,64
2832,1208,31
1208,3700,84
3700,2986,2
2832,1965,33
1965,1381,3
1381,3235,12
3700,3449,16
3449,1965,35
1965,812,3
812,912,9
912,2991,10
2991,3919,24
3919,3757,18
2829,909,105
3,2703,12
2829,4909,122
4909,2781,3
1226,2986,25
2832,909,2
909,2832,20
2832,3757,12
3757,4611,1
4611,2732,1
2732,5022,48
5022,2829,69
2832,4268,18
4611,2308,74
2184,4483,8
3526,2986,40
4909,3449,7
3757,3526,13
3526,4732,4
2358,2732,3
5022,1914,3
3757,2732,3
2732,184,1
184,5022,2
2832,4732,8
3700,4611,12
4268,4904,3
4904,407,3
407,4759,1
4759,1082,4
1082,1765,4
1765,4611,10
2750,4620,5
4620,2986,22
2986,912,44
912,3127,2
3127,3110,7
3700,4395,23
4395,194,12
194,4073,3
4073,2832,87
2832,2856,21
3700,912,4
3751,2829,22
1208,1765,2
1765,3700,4
1965,2865,2
2865,2832,13
2832,3301,7
3301,421,1
2986,4732,28
3700,2703,17
2703,2590,17
3526,3919,50
3919,3139,10
3139,990,3
990,2832,58
1765,4773,3
4773,909,2
1563,2829,1
4395,2704,1
2704,1965,12
1965,3526,72
2929,1849,4
1765,3449,13
634,1345,1
3110,3700,1
3751,2750,1
2750,421,1
421,634,38
634,2829,11
5001,2832,7
2358,437,1
1125,4773,161
4773,1403,1
3526,4594,48
4594,2829,9
1631,3526,4
1125,671,2
671,4611,32
2829,1819,11
1819,2832,6
2143,437,4
437,1082,3
4773,2829,19
2829,2258,58
2258,4956,11
4395,3526,33
1965,2143,5
2143,3449,76
3449,1381,47
3491,2986,41
4594,3700,1
3449,2358,11
2757,4611,9
3356,3054,36
3054,990,8
4611,2986,208
2832,4956,6
4956,3526,34
4268,4611,22
4611,2012,14
1082,2703,3
3757,2703,5
2703,2829,119
2832,2425,4
2425,3235,7
2329,2027,12
2027,93,1
671,3163,20
3163,93,1
1765,3301,3
3301,2929,1
2703,912,6
912,3235,2
3235,3919,7
3301,4611,2
2986,4909,5
1381,3449,6
1965,2991,30
2991,4911,1
2832,2308,59
2012,4732,2
2308,5001,7
5001,4611,2
1235,2986,58
2829,1995,59
2829,2425,5
4456,3757,1
3757,3491,2
3491,1849,4
3751,2732,2
2184,3718,1
3718,812,2
2703,3054,14
3054,4338,6
4338,3779,2
2750,1125,17
3526,2732,14
2732,2986,3
3449,4005,5
3755,421,1
3718,2986,14
2829,2442,106
2442,4956,15
3449,4073,4
2556,244,2
244,1139,5
1139,3449,10
3449,3127,43
3127,2703,1
2949,2829,15
1765,2991,13
2991,634,72
2358,2143,6
1381,4268,3
3912,2929,32
2832,2143,87
1381,2732,3
1526,3755,2
2750,1837,10
1837,912,2
916,4761,4
912,1840,3
1125,3491,3
3491,2829,116
2991,2986,5
2986,2751,82
2751,4456,3
4456,1849,2
1849,3700,7
3700,4372,26
4372,1526,1
2991,1381,2
1381,3919,2
3919,4620,10
4620,912,9
1965,3235,12
3235,2143,2
2143,4268,6
4268,1082,13
1082,1381,4
1965,2203,22
2203,3458,3
3458,3700,38
3700,3235,6
3235,1381,4
1381,3054,6
2991,2751,5
2751,2832,72
2732,3127,4
3127,3700,32
3700,1526,2
2991,912,11
912,4620,2
286,912,5
912,1837,16
1837,4904,8
4904,1235,10
1235,286,8
286,4231,2
4231,1526,1
912,4594,3
4594,3127,5
4395,3091,11
2991,3356,17
3356,4268,2
4611,4732,14
4732,4956,16
4956,1526,1
912,2732,2
2704,1526,1
912,3919,4
3139,1914,4
1914,3,3
728,4338,35
2949,1837,2
1837,3356,3
1837,4761,2
2829,4426,58
4426,3301,49
3526,3779,3
4395,1849,19
4894,2703,1
2986,2771,4
2771,4759,1
4759,2832,47
2856,2737,2
2832,912,87
912,3491,5
3491,1914,16
3356,425,86
425,3718,41
3718,2703,16
1765,4395,4
4395,3035,1
3035,2829,1
1765,912,2
912,2832,2
1965,1765,8
4611,2751,3
2751,3966,6
3966,244,3
244,2865,1
2865,2556,2
2556,3449,19
3449,1139,8
4205,2703,33
2703,2737,7
2737,1765,11
1765,4241,3
3127,3649,12
3649,3356,2
3718,1965,15
3235,634,73
634,1235,5
1235,2829,126
2829,912,36
912,4611,13
4611,1914,28
4257,2829,7
909,3649,37
2832,1381,14
3515,634,19
3700,1125,4
1125,3235,20
3301,3526,3
3526,101,4
101,2258,36
2258,4611,8
4956,3449,6
3449,2929,2
671,2066,2
2066,4257,36
4257,1381,4
3235,3163,6
3163,615,5
615,3127,17
3127,3449,19
3127,2832,36
2300,2832,280
2832,2732,5
2732,2703,20
2703,2027,5
2027,1765,3
1765,615,12
615,2781,9
4395,2329,24
5022,1965,38
3235,615,23
615,4205,17
4205,2143,1
2143,291,6
291,3526,44
3526,615,162
4773,5022,4
2703,3439,15
1765,1381,2
1381,912,1
1914,4909,5
4909,4483,3
3449,1125,49
1965,3356,12
3356,2991,48
2991,291,12
291,812,4
812,4732,9
4732,2300,12
